Start,End
4076.985,4077.266
4078.179,4078.539
4082.184,4082.321
4082.639,4082.848
4085.259,4085.384
4085.882,4086.082
4089.433,4089.623
4090.106,4090.278
4091.093,4091.195
4092.85,4094.351
4097.176,4098.101
4098.962,4099.258
4099.984,4100.119
4101.068,4101.225
4102.18,4102.312
4105.833,4106.049
4106.152,4106.255
4108.017,4108.479
4109.023,4109.235
4111.035,4111.579
4111.778,4112.301
4112.651,4112.876
4113.189,4113.422
4113.556,4113.805
4114.223,4114.773
4115.064,4115.382
4116.827,4117.106
4117.687,4118.051
4119.246,4119.571
4120.633,4121.005
4121.452,4121.939
4123.057,4123.223
4123.364,4123.546
4124.486,4124.601
4125.026,4125.181
4125.995,4126.714
4128.155,4128.616
4129.421,4129.649
4129.97,4130.244
4131.486,4132.209
4132.439,4132.676
4133.785,4133.983
4135.084,4135.449
4135.673,4135.775
4135.962,4137.593
4138.896,4141.001
4141.19,4141.504
4142.3,4142.968
4143.544,4143.721
4143.95,4144.426
4146.458,4147.183
4147.733,4148.426
4149.021,4150.237
4154.135,4154.476
4155.35,4155.591
4156.193,4157.188
4156.622,4154.914
4157.378,4157.584
4158.269,4158.575
4159.075,4159.875
4160.076,4160.461
4161.144,4161.495
4163.234,4164.764
4165.277,4165.379
4166.62,4166.86
4167.136,4168.272
4168.7,4168.918
4170.965,4171.439
4171.733,4171.92
4172.115,4172.779
4175.44,4175.543
4175.846,4176.053
4176.99,4177.682
4177.962,4178.53
4179.155,4179.625
4180.094,4180.744
4181.109,4181.844
4182.231,4182.493
4183,4183.285
4184.459,4184.595
4184.748,4185.445
4186.668,4187.235
4187.439,4187.737
4190.187,4190.244
4191.219,4191.381
4191.486,4191.828
4193.048,4193.48
4194.761,4195.059
4198.213,4198.622
4199.093,4199.373
4201.041,4201.184
4202.619,4202.839
4203.463,4203.594
4204.205,4204.684
4208.481,4209.722
4210.595,4210.959
4213.144,4213.354
4214.112,4214.77
4214.905,4215.105
4215.471,4215.614
4215.851,4216.459
4217.454,4217.742
4217.882,4218.316
4219.116,4219.511
4220.069,4220.232
4220.701,4221.178
4223.505,4223.683
4224.049,4224.207
4225.769,4225.899
4226.433,4226.571
4229.241,4229.62
4230.105,4230.651
4231.008,4231.844
4232.955,4233.525
4235.1,4235.669
4236.441,4236.689
4238.175,4238.445
4238.806,4239.133
4241.299,4241.496
4241.693,4241.857
4245.371,4245.704
4246.083,4246.39
4249.029,4249.358
4249.454,4249.628
4250.264,4250.58
4250.973,4251.097
